stock,horizon,method,prediction_month,issued_parameter_json,selection_months_used,authorized_candidate_rows_used,is_march_default,is_sep_plus_frozen,v9_recorded_parameter_json,match
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-10,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.01}",True
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-11,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.01}",True
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-12,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.01}",True
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2019-01,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.01}",True
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2019-02,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.01}",True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-03,"{""C"":0.1}",[],0,True,False,"{""C"":0.1}",True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-04,"{""C"":1.0}","[""2018-03""]",3,False,False,"{""C"":1.0}",True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-05,"{""C"":1.0}","[""2018-03"", ""2018-04""]",6,False,False,"{""C"":1.0}",True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-06,"{""C"":1.0}","[""2018-03"", ""2018-04"", ""2018-05""]",9,False,False,"{""C"":1.0}",True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-07,"{""C"":1.0}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06""]",12,False,False,"{""C"":1.0}",True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-08,"{""C"":1.0}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07""]",15,False,False,"{""C"":1.0}",True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-09,"{""C"":1.0}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":1.0}",True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-10,"{""C"":1.0}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":1.0}",True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-11,"{""C"":1.0}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":1.0}",True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-12,"{""C"":1.0}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":1.0}",True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2019-01,"{""C"":1.0}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":1.0}",True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2019-02,"{""C"":1.0}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":1.0}",True
AAPL,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-03,"{""C"":0.1}",[],0,True,False,"{""C"":0.1}",True
AAPL,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-04,"{""C"":0.01}","[""2018-03""]",3,False,False,"{""C"":0.01}",True
AAPL,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-05,"{""C"":0.1}","[""2018-03"", ""2018-04""]",6,False,False,"{""C"":0.1}",True
AAPL,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-06,"{""C"":0.1}","[""2018-03"", ""2018-04"", ""2018-05""]",9,False,False,"{""C"":0.1}",True
AAPL,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-07,"{""C"":0.1}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06""]",12,False,False,"{""C"":0.1}",True
AAPL,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-08,"{""C"":0.1}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07""]",15,False,False,"{""C"":0.1}",True
AAPL,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-09,"{""C"":0.1}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.1}",True
AAPL,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-10,"{""C"":0.1}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.1}",True
AAPL,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-11,"{""C"":0.1}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.1}",True
AAPL,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-12,"{""C"":0.1}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.1}",True
AAPL,1d:DNEWS_24H,PAPER_1G_LINSVM,2019-01,"{""C"":0.1}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.1}",True
AAPL,1d:DNEWS_24H,PAPER_1G_LINSVM,2019-02,"{""C"":0.1}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.1}",True
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_LINSVM,2018-03,"{""C"":0.1}",[],0,True,False,"{""C"":0.1}",True
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_LINSVM,2018-04,"{""C"":0.01}","[""2018-03""]",3,False,False,"{""C"":0.01}",True
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_LINSVM,2018-05,"{""C"":0.01}","[""2018-03"", ""2018-04""]",6,False,False,"{""C"":0.01}",True
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_LINSVM,2018-06,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05""]",9,False,False,"{""C"":0.01}",True
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_LINSVM,2018-07,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06""]",12,False,False,"{""C"":0.01}",True
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_LINSVM,2018-08,"{""C"":1.0}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07""]",15,False,False,"{""C"":1.0}",True
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_LINSVM,2018-09,"{""C"":1.0}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":1.0}",True
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_LINSVM,2018-10,"{""C"":1.0}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":1.0}",True
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_LINSVM,2018-11,"{""C"":1.0}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":1.0}",True
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_LINSVM,2018-12,"{""C"":1.0}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":1.0}",True
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_LINSVM,2019-01,"{""C"":1.0}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":1.0}",True
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_LINSVM,2019-02,"{""C"":1.0}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":1.0}",True
AMZN,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-03,"{""C"":0.1}",[],0,True,False,"{""C"":0.1}",True
AMZN,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-04,"{""C"":1.0}","[""2018-03""]",3,False,False,"{""C"":1.0}",True
AMZN,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-05,"{""C"":0.01}","[""2018-03"", ""2018-04""]",6,False,False,"{""C"":0.01}",True
AMZN,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-06,"{""C"":1.0}","[""2018-03"", ""2018-04"", ""2018-05""]",9,False,False,"{""C"":1.0}",True
AMZN,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-07,"{""C"":1.0}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06""]",12,False,False,"{""C"":1.0}",True
AMZN,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-08,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07""]",15,False,False,"{""C"":0.01}",True
AMZN,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-09,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.01}",True
AMZN,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-10,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.01}",True
AMZN,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-11,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.01}",True
AMZN,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-12,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.01}",True
AMZN,1d:DNEWS_24H,PAPER_1G_LINSVM,2019-01,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.01}",True
AMZN,1d:DNEWS_24H,PAPER_1G_LINSVM,2019-02,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.01}",True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_LINSVM,2018-03,"{""C"":0.1}",[],0,True,False,"{""C"":0.1}",True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_LINSVM,2018-04,"{""C"":0.01}","[""2018-03""]",3,False,False,"{""C"":0.01}",True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_LINSVM,2018-05,"{""C"":0.01}","[""2018-03"", ""2018-04""]",6,False,False,"{""C"":0.01}",True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_LINSVM,2018-06,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05""]",9,False,False,"{""C"":0.01}",True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_LINSVM,2018-07,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06""]",12,False,False,"{""C"":0.01}",True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_LINSVM,2018-08,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07""]",15,False,False,"{""C"":0.01}",True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_LINSVM,2018-09,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.01}",True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_LINSVM,2018-10,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.01}",True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_LINSVM,2018-11,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.01}",True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_LINSVM,2018-12,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.01}",True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_LINSVM,2019-01,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.01}",True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_LINSVM,2019-02,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.01}",True
AAPL,1d:DNEWS_24H,PAPER_2G_L1LR,2018-03,"{""C"":0.1}",[],0,True,False,"{""C"":0.1}",True
AAPL,1d:DNEWS_24H,PAPER_2G_L1LR,2018-04,"{""C"":0.01}","[""2018-03""]",3,False,False,"{""C"":0.01}",True
AAPL,1d:DNEWS_24H,PAPER_2G_L1LR,2018-05,"{""C"":0.01}","[""2018-03"", ""2018-04""]",6,False,False,"{""C"":0.01}",True
AAPL,1d:DNEWS_24H,PAPER_2G_L1LR,2018-06,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05""]",9,False,False,"{""C"":0.01}",True
AAPL,1d:DNEWS_24H,PAPER_2G_L1LR,2018-07,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06""]",12,False,False,"{""C"":0.01}",True
AAPL,1d:DNEWS_24H,PAPER_2G_L1LR,2018-08,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07""]",15,False,False,"{""C"":0.01}",True
AAPL,1d:DNEWS_24H,PAPER_2G_L1LR,2018-09,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.01}",True
AAPL,1d:DNEWS_24H,PAPER_2G_L1LR,2018-10,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.01}",True
AAPL,1d:DNEWS_24H,PAPER_2G_L1LR,2018-11,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.01}",True
AAPL,1d:DNEWS_24H,PAPER_2G_L1LR,2018-12,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.01}",True
AAPL,1d:DNEWS_24H,PAPER_2G_L1LR,2019-01,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.01}",True
AAPL,1d:DNEWS_24H,PAPER_2G_L1LR,2019-02,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.01}",True
AAPL,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,2018-03,"{""C"":0.1}",[],0,True,False,"{""C"":0.1}",True
AAPL,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,2018-04,"{""C"":0.01}","[""2018-03""]",3,False,False,"{""C"":0.01}",True
AAPL,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,2018-05,"{""C"":0.01}","[""2018-03"", ""2018-04""]",6,False,False,"{""C"":0.01}",True
AAPL,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,2018-06,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05""]",9,False,False,"{""C"":0.01}",True
AAPL,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,2018-07,"{""C"":0.01}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06""]",12,False,False,"{""C"":0.01}",True
AAPL,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,2018-08,"{""C"":0.1}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07""]",15,False,False,"{""C"":0.1}",True
AAPL,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,2018-09,"{""C"":0.1}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.1}",True
AAPL,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,2018-10,"{""C"":0.1}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.1}",True
AAPL,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,2018-11,"{""C"":0.1}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.1}",True
AAPL,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,2018-12,"{""C"":0.1}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.1}",True
AAPL,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,2019-01,"{""C"":0.1}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.1}",True
AAPL,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,2019-02,"{""C"":0.1}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":0.1}",True
AMZN,1d:DNEWS_24H,PAPER_2G_L1LR,2018-03,"{""C"":0.1}",[],0,True,False,"{""C"":0.1}",True
AMZN,1d:DNEWS_24H,PAPER_2G_L1LR,2018-04,"{""C"":0.01}","[""2018-03""]",3,False,False,"{""C"":0.01}",True
AMZN,1d:DNEWS_24H,PAPER_2G_L1LR,2018-05,"{""C"":0.01}","[""2018-03"", ""2018-04""]",6,False,False,"{""C"":0.01}",True
AMZN,1d:DNEWS_24H,PAPER_2G_L1LR,2018-06,"{""C"":1.0}","[""2018-03"", ""2018-04"", ""2018-05""]",9,False,False,"{""C"":1.0}",True
AMZN,1d:DNEWS_24H,PAPER_2G_L1LR,2018-07,"{""C"":1.0}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06""]",12,False,False,"{""C"":1.0}",True
AMZN,1d:DNEWS_24H,PAPER_2G_L1LR,2018-08,"{""C"":1.0}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07""]",15,False,False,"{""C"":1.0}",True
AMZN,1d:DNEWS_24H,PAPER_2G_L1LR,2018-09,"{""C"":1.0}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":1.0}",True
AMZN,1d:DNEWS_24H,PAPER_2G_L1LR,2018-10,"{""C"":1.0}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":1.0}",True
AMZN,1d:DNEWS_24H,PAPER_2G_L1LR,2018-11,"{""C"":1.0}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":1.0}",True
AMZN,1d:DNEWS_24H,PAPER_2G_L1LR,2018-12,"{""C"":1.0}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":1.0}",True
AMZN,1d:DNEWS_24H,PAPER_2G_L1LR,2019-01,"{""C"":1.0}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":1.0}",True
AMZN,1d:DNEWS_24H,PAPER_2G_L1LR,2019-02,"{""C"":1.0}","[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,"{""C"":1.0}",True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,2018-03,"{""C"":0.1}",[],0,True,False,"{""C"":0.1}",True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,2018-04,"{""C"":1.0}","[""2018-03""]",3,False,False,"{""C"":1.0}",True
