phase,symbol,method,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
development,AAPL,F0,126,0.5045638945233265,0.013001274187308592,0.260102851399259,0.5955882352941178,0.8620689655172413,0.14705882352941177,0.8571428571428571,False
development,AAPL,R1,126,0.5621196754563895,0.14894830773554277,0.24411096100759516,0.6435091277890466,0.8448275862068966,0.27941176470588236,0.7777777777777778,False
development,AAPL,F1,126,0.5793610547667343,0.19548759607310848,0.249974757894649,0.5755578093306288,0.8793103448275862,0.27941176470588236,0.7936507936507936,False
development,AAPL,F2,126,0.5413286004056794,0.10665141370746663,0.28029547508334307,0.6196754563894524,0.8620689655172413,0.22058823529411764,0.8174603174603174,False
development,AAPL,F6,126,0.5035496957403651,0.015447815630555594,0.25729622065442287,0.5760649087221096,0.9482758620689655,0.058823529411764705,0.9444444444444444,False
development,AAPL,HISTORY_LR,126,0.4437119675456389,-0.1143138356661114,0.37903421190615694,0.42089249492900604,0.5344827586206896,0.35294117647058826,0.5952380952380952,False
development,AAPL,CHRONOS_LR,126,0.5,0.0,0.26239133745470383,0.4396551724137931,1.0,0.0,1.0,True
development,AMZN,F0,126,0.48330241187384043,-0.03289758474798845,0.27095076661399387,0.5269016697588127,0.5510204081632653,0.4155844155844156,0.5714285714285714,False
development,AMZN,R1,126,0.5111317254174397,0.02234950781338371,0.2718877788099645,0.5552610654651471,0.6326530612244898,0.38961038961038963,0.6190476190476191,False
development,AMZN,F1,126,0.5565862708719851,0.11175966918302659,0.24813226696952742,0.5804399681950703,0.4897959183673469,0.6233766233766234,0.42063492063492064,False
development,AMZN,F2,126,0.46289424860853434,-0.0728067416339465,0.297652395394459,0.5030479724357275,0.5102040816326531,0.4155844155844156,0.5555555555555556,False
development,AMZN,F6,126,0.5250463821892393,0.050964719143762556,0.2651589066198111,0.5420090113967665,0.673469387755102,0.37662337662337664,0.6428571428571429,False
development,AMZN,HISTORY_LR,126,0.585343228200371,0.17454571850893355,0.26211648688836636,0.5915716936125099,0.7551020408163265,0.4155844155844156,0.6507936507936508,False
development,AMZN,CHRONOS_LR,126,0.5166975881261595,0.03603749850782236,0.25508658379791954,0.5645375033130136,0.7346938775510204,0.2987012987012987,0.7142857142857143,False
later,AAPL,F0,178,0.5189465706707086,0.05202550290923069,0.2693583552956159,0.5129468232916509,0.8620689655172413,0.17582417582417584,0.8426966292134831,False
later,AAPL,R1,178,0.5386510041682455,0.08597676748504192,0.25577476582147957,0.5301250473664266,0.7586206896551724,0.31868131868131866,0.7191011235955056,False
later,AAPL,F1,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.5385878489326765,0.7931034482758621,0.24175824175824176,0.7752808988764045,False
later,AAPL,F2,178,0.5671340154098775,0.15225387872362858,0.28557810785631715,0.5495768599216875,0.8045977011494253,0.32967032967032966,0.7359550561797753,False
later,AAPL,F6,178,0.4939370973853733,-0.013658361895953085,0.2528519469342745,0.5226727295692812,0.7241379310344828,0.26373626373626374,0.7303370786516854,False
later,AAPL,HISTORY_LR,178,0.5163572060123784,0.032739233281760725,0.3606545743499827,0.48793735000631555,0.4942528735632184,0.5384615384615384,0.47752808988764045,False
later,AAPL,CHRONOS_LR,178,0.5054945054945055,0.0734940697113326,0.2556037005114354,0.5077680939749905,1.0,0.01098901098901099,0.9943820224719101,False
later,AMZN,F0,179,0.4978723404255319,-0.004333585708320421,0.2676852632154346,0.5193992490613266,0.5957446808510638,0.4,0.5977653631284916,False
later,AMZN,R1,179,0.5085106382978724,0.017418199070209483,0.27222912692367146,0.5200250312891115,0.6170212765957447,0.4,0.6089385474860335,False
later,AMZN,F1,179,0.5435544430538173,0.08716344852207177,0.2583062367774877,0.5408010012515645,0.5106382978723404,0.5764705882352941,0.4692737430167598,False
later,AMZN,F2,179,0.5426783479349186,0.08692663097278021,0.26169057480580954,0.5685857321652065,0.6382978723404256,0.4470588235294118,0.5977653631284916,False
later,AMZN,F6,179,0.5115769712140176,0.024394527890402418,0.25453802398246317,0.5264080100125157,0.6702127659574468,0.35294117647058826,0.659217877094972,False
later,AMZN,HISTORY_LR,179,0.5090738423028787,0.018481468461954736,0.2836817113949935,0.4793491864831039,0.6063829787234043,0.4117647058823529,0.5977653631284916,False
later,AMZN,CHRONOS_LR,179,0.4701501877346683,-0.060663941851245545,0.2587931930990854,0.45156445556946184,0.5638297872340425,0.3764705882352941,0.5921787709497207,False
train_forward_oof,AAPL,F0,383,0.5001831914773689,0.0003612870332648107,0.26498507019905926,0.4958570542810439,0.5353982300884956,0.46496815286624205,0.5352480417754569,False
train_forward_oof,AAPL,R1,383,0.5268023223042669,0.052859072097666916,0.25766056155301725,0.5412039907558762,0.48672566371681414,0.5668789808917197,0.46475195822454307,False
train_forward_oof,AAPL,F1,383,0.503029705202638,0.006144151764253761,0.2592606648817109,0.5141198354095035,0.6238938053097345,0.3821656050955414,0.6214099216710183,False
train_forward_oof,AAPL,F2,383,0.5001831914773689,0.0003612870332648107,0.26018906778411555,0.5182064145200383,0.5353982300884956,0.46496815286624205,0.5352480417754569,False
train_forward_oof,AAPL,F6,383,0.5533791781748492,0.11047960128035443,0.24517905373908971,0.5649625162054,0.6991150442477876,0.40764331210191085,0.6553524804177546,False
train_forward_oof,AAPL,HISTORY_LR,383,0.502931063637901,0.005813988628908604,0.29938704055039717,0.5035792796347444,0.5663716814159292,0.4394904458598726,0.5639686684073107,False
train_forward_oof,AAPL,CHRONOS_LR,383,0.46725100050729945,-0.12584187974469022,0.24840280942991536,0.46282622174623755,0.9026548672566371,0.03184713375796178,0.9295039164490861,False
train_forward_oof,AMZN,F0,382,0.5186724275531827,0.03940489707528027,0.257838956557549,0.5213418829292457,0.6798029556650246,0.3575418994413408,0.662303664921466,False
train_forward_oof,AMZN,R1,382,0.5217959655447615,0.04574289772518907,0.25617620131172997,0.5157828109089909,0.6748768472906403,0.3687150837988827,0.6544502617801047,False
train_forward_oof,AMZN,F1,382,0.5326939483171423,0.06530258832057416,0.26055740634768043,0.5216996449899551,0.5123152709359606,0.553072625698324,0.4816753926701571,False
train_forward_oof,AMZN,F2,382,0.4813963728431076,-0.038419557993187976,0.27485353855450334,0.4638522717890855,0.6108374384236454,0.35195530726256985,0.6282722513089005,False
train_forward_oof,AMZN,F6,382,0.551352615791067,0.1104144292727165,0.2520400743004611,0.5349643613947217,0.7339901477832512,0.3687150837988827,0.6858638743455497,False
train_forward_oof,AMZN,HISTORY_LR,382,0.5076781242259956,0.0158565927220406,0.27540720808008257,0.509976057462091,0.6354679802955665,0.37988826815642457,0.6282722513089005,False
train_forward_oof,AMZN,CHRONOS_LR,382,0.5094531744502848,0.02113234384767054,0.25430235382433447,0.5223876489528579,0.7339901477832512,0.2849162011173184,0.725130890052356,False
